CustomerId,Surname,ChurnScore,PredictedExited,RiskGrade
15692416,Aikenhead,0.9111,1,Very High
15641675,Kirillova,0.8742,1,Very High
15764866,Synnot,0.8693,1,Very High
15655123,Dumetolisa,0.869,1,Very High
15670374,Wright,0.8496,1,Very High
15787189,Tai,0.8474,1,Very High
15585367,Diribe,0.8361,1,Very High
15712551,Shen,0.8342,1,Very High
15625080,Parkin,0.8284,1,Very High
15725679,Hsia,0.8201,1,Very High
15699523,Chu,0.8197,1,Very High
15628298,Johnstone,0.8156,1,Very High
15772423,Liao,0.8153,1,Very High
15746708,Ritchie,0.8116,1,Very High
15592736,Lucchese,0.8073,1,Very High
15810418,T'ang,0.8055,1,Very High
15612525,Preston,0.8022,1,Very High
15639946,Sazonova,0.799,1,Very High
15636089,Hs?,0.7957,1,Very High
15704284,Ekechukwu,0.7915,1,Very High
15782688,Piccio,0.7858,1,Very High
15813168,Maslova,0.7855,1,Very High
15610446,Chinedum,0.7836,1,Very High
15791700,Ugochukwutubelum,0.7804,1,Very High
15649121,Pinto,0.7766,1,Very High
15687162,Clayton,0.7717,1,Very High
15629677,Distefano,0.7714,1,Very High
15806688,Manfrin,0.7691,1,Very High
15618936,MacDonald,0.7666,1,Very High
15805260,Wood,0.7604,1,Very High
15781553,Chung,0.7576,1,Very High
15598086,Brown,0.7528,1,Very High
15753332,Loftus,0.7496,1,Very High
15676895,Cattaneo,0.7473,1,Very High
15576368,Bledsoe,0.7454,1,Very High
15683124,Evans,0.7442,1,Very High
15679410,Caldwell,0.7436,1,Very High
15681206,Hsing,0.7373,1,Very High
15654673,Onyinyechukwuka,0.7323,1,Very High
15693864,Iheanacho,0.7318,1,Very High
15665956,Pendergrass,0.719,1,Very High
15689294,Onyemaechi,0.7186,1,Very High
15635435,White,0.7183,1,Very High
15764170,Pinto,0.7174,1,Very High
15680303,Gibson,0.716,1,Very High
15751561,Meng,0.7115,1,Very High
15723894,Younger,0.7067,1,Very High
15625426,Ashbolt,0.7061,1,Very High
15680727,Fang,0.7053,1,Very High
15715527,Freeman,0.702,1,Very High
15771942,Tikhonov,0.6995,1,High
15787318,Holmwood,0.6985,1,High
15755262,McDonald,0.6967,1,High
15665077,Vogel,0.6965,1,High
15714485,Udinese,0.6925,1,High
15595728,Thomas,0.6877,1,High
15712849,Tung,0.6869,1,High
15691723,Chukwudi,0.6824,1,High
15584364,Trentini,0.6811,1,High
15578297,Ebelegbulam,0.6744,1,High
15679249,Chou,0.6729,1,High
15684181,Hackett,0.6715,1,High
15782210,K'ung,0.665,1,High
15705890,Nebechukwu,0.6591,1,High
15641994,Meng,0.6564,1,High
15691104,Kennedy,0.6546,1,High
15791053,Lucciano,0.6542,1,High
15627352,Bulgakov,0.6517,1,High
15643658,Barber,0.6507,1,High
15569050,Farrell,0.6494,1,High
15610686,Melton,0.6474,1,High
